     64.45 2.239642e+02 5.546312e+02 2.977741e+02 1.343300e-02
     96.68 4.428044e+02 1.107011e+03 6.058770e+02 9.903000e-03
    128.91 4.601403e+02 1.171989e+03 6.370948e+02 1.255700e-02
    161.13 4.651595e+02 1.210068e+03 6.516781e+02 1.534500e-02
    241.70 4.738738e+02 1.236603e+03 6.707508e+02 2.236300e-02
    322.27 4.727462e+02 1.239311e+03 6.744908e+02 2.965200e-02
    644.53 4.455732e+02 1.177926e+03 6.409846e+02 6.240400e-02
   1289.06 4.485814e+02 1.195207e+03 6.492242e+02 1.232240e-01
   2578.12 4.807115e+02 1.283162e+03 6.975021e+02 2.293900e-01
   6445.31 4.484848e+02 1.236614e+03 6.564307e+02 6.093560e-01
  12890.62 4.179720e+02 1.169875e+03 6.146182e+02 1.301621e+00
  25781.25 4.131606e+02 1.137356e+03 6.052451e+02 2.643557e+00
  38671.88 3.969816e+02 1.118002e+03 5.852792e+02 4.100607e+00
