     78.12 2.222963e+02 5.518764e+02 2.948331e+02 1.356700e-02
    117.19 4.432624e+02 1.112347e+03 6.031969e+02 9.947000e-03
    156.25 4.402862e+02 1.127078e+03 6.096632e+02 1.312200e-02
    195.31 4.731264e+02 1.217434e+03 6.610259e+02 1.512800e-02
    292.97 4.725302e+02 1.225891e+03 6.672895e+02 2.247900e-02
    390.62 4.745409e+02 1.239926e+03 6.750599e+02 2.962700e-02
    781.25 4.750707e+02 1.252113e+03 6.815587e+02 5.868900e-02
   1562.50 4.620111e+02 1.228577e+03 6.682928e+02 1.197080e-01
   3125.00 4.590973e+02 1.022299e+03 6.320913e+02 2.531280e-01
   7812.50 2.486523e+02 2.879069e+02 2.660514e+02 1.503469e+00
  15625.00 2.051520e+02 3.815207e+02 2.662811e+02 3.004344e+00
  31250.00 1.876942e+02 4.483996e+02 2.643692e+02 6.052142e+00
  46875.00 1.841307e+02 4.862367e+02 2.669436e+02 8.990663e+00
